company	legal_name	industry	ats	board_url	api_url	h1b_known	notes
Nextdoor	Nextdoor, Inc.	Consumer Internet, Marketplaces and D2C	greenhouse	https://boards.greenhouse.io/nextdoor	https://boards-api.greenhouse.io/v1/boards/nextdoor/jobs	unchecked	
Persona	?	Fintech and Payments	ashby	https://jobs.ashbyhq.com/persona	https://api.ashbyhq.com/posting-api/job-board/persona?includeCompensation=true	unchecked	
Plaid	Plaid Inc.	Fintech and Payments	ashby	https://jobs.ashbyhq.com/plaid	https://api.ashbyhq.com/posting-api/job-board/plaid?includeCompensation=true	unchecked	
Poshmark	Poshmark, Inc.	Consumer Internet, Marketplaces and D2C	ashby	https://jobs.ashbyhq.com/poshmark	https://api.ashbyhq.com/posting-api/job-board/poshmark?includeCompensation=true	unchecked	
Razorpay	Razorpay Software Private Limited	Fintech and Payments	greenhouse	https://boards.greenhouse.io/razorpaysoftwareprivatelimited	https://boards-api.greenhouse.io/v1/boards/razorpaysoftwareprivatelimited/jobs	n/a	
RebelFoods	?	Consumer Internet, Marketplaces and D2C	smartrecruiters	https://jobs.smartrecruiters.com/rebelfoods		n/a	
Ripple	Ripple Labs Inc.	Fintech and Payments	greenhouse	https://boards.greenhouse.io/ripple	https://boards-api.greenhouse.io/v1/boards/ripple/jobs	unchecked	
Ro	Roman Health Ventures Inc. (dba Ro)	Consumer Internet, Marketplaces and D2C	lever	https://jobs.lever.co/ro	https://api.lever.co/v0/postings/ro?mode=json	unchecked	
Robinhood	Robinhood Markets, Inc.	Fintech and Payments	greenhouse	https://boards.greenhouse.io/robinhood	https://boards-api.greenhouse.io/v1/boards/robinhood/jobs	unchecked	
Rover	A Place for Rover, Inc.	Consumer Internet, Marketplaces and D2C	lever	https://jobs.lever.co/rover	https://api.lever.co/v0/postings/rover?mode=json	unchecked	
Sardine	?	Fintech and Payments	ashby	https://jobs.ashbyhq.com/sardine	https://api.ashbyhq.com/posting-api/job-board/sardine?includeCompensation=true	unchecked	
SeatGeek	SeatGeek, Inc.	Consumer Internet, Marketplaces and D2C	greenhouse	https://boards.greenhouse.io/seatgeek	https://boards-api.greenhouse.io/v1/boards/seatgeek/jobs	unchecked	
Slice	Garagepreneurs Internet Private Limited	Fintech and Payments	greenhouse	https://boards.greenhouse.io/slice	https://boards-api.greenhouse.io/v1/boards/slice/jobs	n/a	
Socure	Socure, Inc.	Fintech and Payments	ashby	https://jobs.ashbyhq.com/socure	https://api.ashbyhq.com/posting-api/job-board/socure?includeCompensation=true	unchecked	
SoFi	Social Finance, Inc.	Fintech and Payments	greenhouse	https://boards.greenhouse.io/sofi	https://boards-api.greenhouse.io/v1/boards/sofi/jobs	unchecked	
StockX	StockX LLC	Consumer Internet, Marketplaces and D2C	greenhouse	https://boards.greenhouse.io/stockx	https://boards-api.greenhouse.io/v1/boards/stockx/jobs	unchecked	
Swiggy	Bundl Technologies Private Limited	Consumer Internet, Marketplaces and D2C	smartrecruiters	https://jobs.smartrecruiters.com/swiggy		n/a	
TaskRabbit	TaskRabbit Inc.	Consumer Internet, Marketplaces and D2C	greenhouse	https://boards.greenhouse.io/taskrabbit	https://boards-api.greenhouse.io/v1/boards/taskrabbit/jobs	unchecked	
ThriveMarket	Thrive Market, Inc.	Consumer Internet, Marketplaces and D2C	greenhouse	https://boards.greenhouse.io/thrivemarket	https://boards-api.greenhouse.io/v1/boards/thrivemarket/jobs	unchecked	
UltraCleanHoldings	Ultra Clean Holdings, Inc.	Semiconductors and Industrial Tech	smartrecruiters	https://jobs.smartrecruiters.com/uct		unchecked	
Unit	?	Fintech and Payments	ashby	https://jobs.ashbyhq.com/unit	https://api.ashbyhq.com/posting-api/job-board/unit?includeCompensation=true	unchecked	
Upstart	Upstart Network, Inc.	Fintech and Payments	greenhouse	https://boards.greenhouse.io/upstart	https://boards-api.greenhouse.io/v1/boards/upstart/jobs	unchecked	
Upstox	?	Fintech and Payments	smartrecruiters	https://jobs.smartrecruiters.com/upstox		n/a	
Wise	?	Fintech and Payments	smartrecruiters	https://jobs.smartrecruiters.com/wise		unchecked	
Zeta	?	Fintech and Payments	lever	https://jobs.lever.co/zeta	https://api.lever.co/v0/postings/zeta?mode=json	n/a	
Zola	?	Consumer Internet, Marketplaces and D2C	greenhouse	https://boards.greenhouse.io/zola	https://boards-api.greenhouse.io/v1/boards/zola/jobs	unchecked	
